Name,Sp_attack
Bulbasaur,65
Ivysaur,80
Venusaur,100
Mega Venusaur,122
Charmander,60
Charmeleon,80
Charizard,109
Mega Charizard,130
Mega Charizard X,159
Squirtle,50
Wartortle,65
Blastoise,85
Mega Blastoise,135
Caterpie,20
Metapod,25
Butterfree,90
Weedle,20
Kakuna,25
Beedrill,45
Mega Beedrill,15
Pidgey,35
Pidgeotto,50
Pidgeot,70
Mega Pidgeot,135
Rattata,25
Mega Rattata,25
Raticate,50
Mega Raticate,40
Spearow,31
Fearow,61
Ekans,40
Arbok,65
Pikachu,50
Mega Pikachu,75
Raichu,90
Mega Raichu,95
Sandshrew,20
Mega Sandshrew,10
Sandslash,45
Mega Sandslash,25
Nidoran♀,40
Nidorina,55
Nidoqueen,75
Nidoran♂,40
Nidorino,55
Nidoking,85
Clefairy,60
Clefable,95
Vulpix,50
